,CLAIM_NUM,INVENTORY_STYLE_CD,INVENTORY_SIZE_CD,INVENTORY_BACKING_CD,INVENTORY_COLOR_CD,DIM_DIVISION_CUSTOMER_GK,F1ROLL,F1PROL,F1GROL,F1DLOT,CLAIM_STATUS_TYPE_CD,CLAIM,TOTAL_CLAIM,TOTAL_CLAIM_CNT,TRX_CNT,NET_SALES
0,7139439,27899,1200,A,718,250963,08861107,,5118193,K66165,50,401.7,1127.85,2,1829,1233391.99
1,6978470,27710,1200,A,868,232904,99618161,,4248781,A21720,50,485.64,6456.72,5,309,543566.65
2,6984924,27710,1200,A,868,232904,03883802,03683732,4638362,A32338,30,1361.77,6456.72,5,309,543566.65
3,6984924,27710,1200,A,868,232904,03683732,,4638362,A32338,30,1032.37,6456.72,5,309,543566.65
4,7061589,27710,1200,A,868,232904,00116937,,4290829,A23035,50,216.56,6456.72,5,309,543566.65
5,7083622,28180,1200,A,969,325646,10151945,10101271,5205684,A50710,30,572.76,1145.52,1,60,109102.7
6,7083622,28180,1200,A,969,325646,10151932,10101271,5205684,A50710,30,572.76,1145.52,1,60,109102.7
7,7060489,27861,1200,A,727,279975,06914723,06799695,4944878,751062,50,557.43,2192.6,3,270,190618.76
8,7060489,27861,1200,A,727,279975,06914680,06799695,4944878,751062,50,419.66,2192.6,3,270,190618.76
9,7145087,80232,1200,A,862,250448,07021639,,4973773,745410,50,322.56,322.56,1,3,306.43
10,6940735,27475,1200,A,749,241061,03534752,03419304,4623335,K45525$,50,1409.4,1687.78,2,414,446010.62
11,6852208,27475,1200,A,749,241061,84762960,,2508256,K70483@,50,278.38,1687.78,2,414,446010.62
12,7083253,PSC1,0600,PB,SMART,313081,09404366,,,PAD,50,57.8,289.0,2,25,33679.0
13,7083253,PSC1,0600,PB,SMART,313081,09404367,,,PAD,50,57.8,289.0,2,25,33679.0
14,7001282,28215,1200,A,728,228961,06157892,05616699,4835362,K53885$,51,504.1,671.66,1,2845,1859171.17
15,7001282,28215,1200,A,728,228961,06157892,05616699,4835362,K53885$,50,167.56,671.66,1,2845,1859171.17
16,7035407,PSC1,0600,PB,SMART,290574,07389437,,,PAD,50,55.6,1112.0,2,389,799728.4
17,7035407,PSC1,0600,PB,SMART,290574,07389431,,,PAD,50,55.6,1112.0,2,389,799728.4
18,7035341,PSC1,0600,PB,SMART,290574,07436322,,,PAD,50,55.6,1112.0,2,389,799728.4
19,7035341,PSC1,0600,PB,SMART,290574,07436321,,,PAD,50,55.6,1112.0,2,389,799728.4
20,7035341,PSC1,0600,PB,SMART,290574,07436320,,,PAD,50,55.6,1112.0,2,389,799728.4
21,7035341,PSC1,0600,PB,SMART,290574,07436323,,,PAD,50,55.6,1112.0,2,389,799728.4
22,7035341,PSC1,0600,PB,SMART,290574,07436324,,,PAD,50,55.6,1112.0,2,389,799728.4
23,7035341,PSC1,0600,PB,SMART,290574,07436325,,,PAD,50,55.6,1112.0,2,389,799728.4
24,7035341,PSC1,0600,PB,SMART,290574,07436316,,,PAD,50,55.6,1112.0,2,389,799728.4
25,7035407,PSC1,0600,PB,SMART,290574,07389435,,,PAD,50,55.6,1112.0,2,389,799728.4
26,7035407,PSC1,0600,PB,SMART,290574,07389430,,,PAD,50,55.6,1112.0,2,389,799728.4
27,7035407,PSC1,0600,PB,SMART,290574,07389432,,,PAD,50,55.6,1112.0,2,389,799728.4
28,7035407,PSC1,0600,PB,SMART,290574,07389429,,,PAD,50,55.6,1112.0,2,389,799728.4
