,PC1,PC2,PC3,PC4,PC5,Claims,Pred,Score,Index
24317,2.3485841670061434,-0.7337174914377732,0.03175131748025312,-0.17462800301018228,2.267821095165173,1,0,0.7206681907008622,val
29645,-0.882281443227081,0.27229402438511296,-0.3665680418704089,0.03011180531448931,0.2577418881868989,0,0,0.7166448004373119,val
24906,-1.20994638751888,0.1992534391557745,-0.21811709171414218,-0.26367169796333784,-0.23088088058941095,0,1,0.711153263856191,val
17343,-1.0346990898204436,0.2559285740955214,1.7052218516494877,-0.6077600953680068,1.329234114176583,1,0,0.719204128472503,val
23411,-0.6133543639401686,0.4380860607633861,-0.1850809929237615,-0.6464996471270436,-0.14542225680860113,1,0,0.7126054362156105,val
30893,2.444218872225668,0.06624633914613175,-0.4309514747688717,0.06512514223622685,-1.6798857033771921,0,1,0.7031619993390522,val
16151,1.4948349299637909,-0.12045223980896147,-0.722990397958524,-0.306232166959221,0.19345702982524174,0,1,0.7086345089435996,val
4335,-1.1741294056414866,-3.7544604248046363,5.3046885384999705,3.3697812158897724,-3.9868811272868676,1,1,0.698165366681764,val
18053,-0.4345234316166558,-0.2820875038286835,-0.37582125174804387,-0.11900980124463408,0.21432280909675228,1,0,0.7235496423009152,val
25532,-1.1470555354914906,0.1172477668832946,-0.1308834769820697,-0.3771907687700958,0.17561828806972837,1,0,0.7151581364136885,val
21820,-0.41085066043436236,-1.197656602196852,1.3946674200177205,1.8835156295740476,-1.0231589376129364,1,1,0.707225231302163,val
21606,1.496436377088229,-0.550514675461802,-0.5210224412319475,-0.06987762785301573,1.5814129693081194,1,0,0.7176762236613827,val
6193,-1.566911547255076,0.2280303830563652,-0.14516716117077946,-0.21103636451704386,0.3139118677718112,0,0,0.7122712980191419,val
25553,-0.5677589407474017,0.0927285331091048,-0.338638786449957,-0.27210811566481674,0.37983287547591515,1,0,0.7196442605954757,val
4836,1.539136245024094,-0.025743325250800277,-0.8227842030855441,-0.02581990956532854,-0.34181859502697554,1,1,0.7016378345772187,val
25054,-1.5033114711087032,0.22474978076566088,0.08013885967707712,-0.37878730821894085,-0.2463001263365494,1,1,0.705536483021751,val
26049,-0.13049513486112263,-0.009238702815441743,-0.1828271522903261,-0.40232177505066813,-0.11288314031661495,1,0,0.7152941470154149,val
18930,3.5077793156941115,-0.46791876849576347,-0.48131257367433905,-0.13984534923327935,-0.30861918603207444,1,1,0.7051079643240532,val
2279,0.4818403709525011,-0.711340691417969,-0.564157221147019,0.2960199564343096,2.0277615202735695,1,0,0.7218215468157931,val
6729,-0.3039087926048988,0.0677363351365218,0.04709396316216632,-0.0595876659437537,0.11902098225633746,1,1,0.7035795955137397,val
10135,-0.9819021572574312,0.05584253454559391,-0.14683855921604866,-0.30514924088055567,-0.2093256985516106,0,0,0.7129234757349464,val
17677,-1.4435444977303453,-0.18210106600118148,-0.11988261078484344,0.015521504414362538,0.17899144419147534,0,0,0.7162101439321934,val
425,2.344271668446441,-0.3536824180583656,-0.554305620351937,-0.2678002186594223,0.1298223733061967,0,1,0.7006333674003388,val
16423,-1.3479428684273083,-0.00015032298926066906,0.04926472081365475,-0.20126055667426482,-0.4091130163702715,1,1,0.7051008641172922,val
30538,-0.567074529284264,0.13072480879819695,-0.3867987649668994,-0.26771741838654034,-0.06310887314712317,1,0,0.7186248463401931,val
2519,-0.9359075341763583,0.12594894007439908,-0.07671346394608014,-0.15944355541977145,0.2894234134681069,1,1,0.7096223507518622,val
27132,-0.12834960932189465,-0.39786963272255776,-0.5248940241956671,-0.4251175941565279,-1.316730653540094,0,0,0.7128785018413515,val
19131,-0.7598045744065003,0.23795203712018728,-0.27403279736459357,-0.11945698292717317,-0.052755075953090674,1,1,0.711439105904204,val
5709,3.094489031055056,-0.5296837568629966,-0.6836115179674209,-0.6573637506074124,0.30512412344604745,1,1,0.6991748639841696,val
10389,-0.6019983408318655,0.0038232965198164684,-0.25218393362187275,-0.19501551187386382,-0.24241409959687027,1,0,0.7141359861984302,val
32312,0.05620358486515846,1.1463794212979346,-0.14804616534008905,-0.9419049876301693,0.062377898373402935,1,1,0.7088915629216266,val
1374,3.129777558958852,1.0360307605431551,-0.2718380186530857,3.5239789470199887,1.8908454350595867,1,1,0.696951941006113,val
5179,-0.8108540679022739,0.18180798684932328,-0.1714823891913343,-0.14461930470195455,0.13855831761187953,1,1,0.7105848956428681,val
6374,-0.8299000185535573,0.1068473019213731,-0.31908371752884546,-0.05660633560002061,-0.272181724289312,0,0,0.7133227392227506,val
11090,3.192040201969076,-0.5735806021573933,-0.6976066363183869,-0.7454634776136835,0.05955847246440992,0,1,0.6986134658669535,val
24870,4.815821416631853,-0.9734634242968864,-0.7422528143338134,-1.2086882086107937,-1.1066770877596508,0,0,0.7240861050515813,val
4106,1.126671090760254,-0.25012589927763407,0.11432671850034215,-0.4662493956467416,1.0470115021962143,1,0,0.7122638239185736,val
1273,0.8076202477387157,-0.11920708646783336,-0.6378430222074702,-0.280173913937959,0.755206164394346,0,0,0.723641938430282,val
19759,-0.6561379071761243,0.08688839855911024,-0.20288558700269083,-0.4878775951226466,-0.04478006518485543,1,0,0.7170643164465339,val
30396,-0.5172899888496001,0.12270381612952294,-0.17110928556632968,-0.3667702484204164,0.37663368770696676,0,0,0.7134737366754396,val
4696,-0.9440751878974919,0.1642195033616422,-0.15280724330646125,-0.006411842787172958,0.13382370437386348,1,1,0.7095217989543282,val
7282,-0.42659519001504403,2.1724027703113133,-0.13470033176669438,-0.9141710133444857,-0.6688111512174169,1,0,0.7182494218417815,val
29974,-0.8130104572801908,0.20714676627994258,-0.2734956658818255,-0.1256631961835639,-0.08193447602675182,0,0,0.7121013842513053,val
3239,-0.30737570368023165,-0.511249489190065,0.9357832760738588,0.42510969237867496,-0.2102360905216566,1,1,0.6970491663074512,val
31726,1.7607010309589983,1.7264144856234713,-0.5658295020264876,-0.9782698523574611,0.8263882616372537,1,1,0.6966034519604902,val
11449,2.6488476124906737,-1.0099110870856363,-0.2889093369845287,-1.1061286929614702,-1.3960503779443483,1,0,0.718861136880493,val
9611,-0.48498754209437106,0.5879900874444928,-0.3306729916872735,-0.18078383826292022,0.46434684606613696,1,1,0.710881639317776,val
26598,1.0013910579888083,-0.29656770981485253,-0.2983764276685756,-0.0491662245187971,0.8873834798086346,1,0,0.7204310578831248,val
6844,-1.3086952899708213,-0.3475221745174085,0.0428297323763258,0.0474372183996595,-0.26437675135776945,1,1,0.71019519248885,val
12564,-1.1486102938570464,0.14419525653918755,0.1613841402902719,-0.256123255001149,0.21597678018718378,1,1,0.705091109421002,val
16338,-0.6844411290976352,0.2565085521202644,-0.4108753156772305,0.07480851401901933,-0.03581830120819924,1,0,0.714493527766512,val
5090,-0.10868924797189647,0.1264050158810416,-0.39019031142605254,-0.07516889426963527,0.104799004682148,1,0,0.7146013611875495,val
13612,2.2459614982291733,-1.0976140721217014,-0.2936851249819545,0.04192168023842896,2.2326190325544633,1,0,0.724598350839594,val
15363,-0.46811660708459696,-0.0338237436786208,-0.2604357931213876,-0.31049966548607255,-0.23297543748103125,1,0,0.7166250402400128,val
16074,-0.7066320441342367,0.057087328440013685,-0.13833594675516697,-0.3399306388997872,-0.25113022138388186,1,0,0.7122538553100691,val
25877,-0.27662448580854193,0.1243737216220584,-0.37744491597261753,-0.22524046488866387,0.13952180790121455,1,0,0.7173508673033092,val
25661,-0.47921823079715237,0.24599530842152809,-0.05120330330571183,-0.09466896524723342,0.525017879889986,1,1,0.705931725627455,val
16508,-0.8315751012817373,0.09519228257912622,-0.19707549870912505,-0.4216318121155676,-0.22504353005623356,1,0,0.7153640678863851,val
12138,3.598747945821167,-3.0333569803055216,0.5598106458365513,0.1273737424481406,-1.7535900142227658,1,0,0.7226465981705121,val
28570,-0.7269672583200579,-1.0850040949723725,0.6909350946533712,0.45060406695031563,0.32330974410166263,1,1,0.705236474876965,val
23546,-0.3262028030475603,0.1408761937198712,-0.37197935796366677,-0.03907202467426766,0.04249820465014183,1,0,0.7140398709405645,val
30907,-0.8139423975238232,2.511877491383137,0.26794621851929434,-1.1958656468400388,-0.4988692556509733,1,0,0.7209449329353881,val
21308,-0.9113723629705335,0.25661823697970865,-0.22272538924571475,0.025746644324007622,-0.16356364367896112,1,1,0.7075609349503699,val
13859,2.386814477951386,-0.35436554176254664,-0.8653214728632098,-0.6592095214559366,-1.2038744083944453,0,1,0.7048650817140782,val
21795,-0.3522091143422794,-1.3179928730782222,1.3754834148187614,1.5599736837952047,-1.5227626933813503,1,1,0.7011329237305048,val
22314,-0.25009366650837395,0.08873009751949298,-0.3059635644114262,-0.08865767695899598,0.32275328955355964,1,0,0.7147615873869604,val
4728,-1.3210828966853814,0.030834703156142087,-0.0005596479090592337,-0.2176556278372109,-0.4080577693522588,0,1,0.7057841865497472,val
15118,2.6003032237958053,0.6580733760249099,-0.8419078167186125,-1.3610197455769328,-1.7071393206474696,1,0,0.7211532031505639,val
16918,-0.6392086836681764,0.10049452726150808,-0.39363323750590445,-0.326810174283412,-0.1712758303669952,1,0,0.7200522609005793,val
15556,-0.5481062139027862,-0.03489377323950918,-0.18692712572847944,-0.2711939299030973,0.21455217622647674,1,0,0.7152244661806124,val
25888,-1.205493875028919,0.12647223897552523,-0.2086612502511189,-0.44267621002862484,-0.3148617117879986,1,0,0.7150133328554511,val
17567,0.5374667708988388,-0.6770073135235728,-0.5599160352893873,0.41420257747678124,2.1287214126368306,1,0,0.720100699642816,val
29689,3.0967231946825873,-0.5534415663662238,-0.6575390888527662,-0.6577427364569022,0.27257487531757135,1,1,0.6991445768674837,val
28926,2.411572297128805,-0.3569083593455563,0.02264529030754287,-0.34285366761645947,2.1586793415779932,1,0,0.713678627190032,val
19903,-0.7952789750261834,0.7001463283354828,-0.19509697802496975,-0.28049747218950455,-0.35657836586354846,1,1,0.7018661936546722,val
22584,-0.9232864930174419,-0.11770276572111044,-0.3814194705138388,0.3450616870313749,0.058090967115116486,0,0,0.7212421108706952,val
2004,-1.161043122483861,-0.6240085445525132,1.0538016455432884,0.42860267094533677,-0.5929180354598794,1,1,0.7029655974460232,val
31354,-0.39772507079261615,-0.3393313603639762,-0.34324726511804127,-0.14972143951322983,0.02985893138473491,1,0,0.7227324624144211,val
11128,-0.6646246904978708,-0.32413489800517065,0.3184784669625768,0.1816513859875509,-0.19994711280326757,1,1,0.7011571132619508,val
2989,-0.04899197185941421,-0.2861059180368936,0.19682419903310877,1.1747170812169325,0.645502122895134,1,1,0.7024419908404287,val
21255,-0.4411887666731932,0.20757345650077724,-0.3448819228390984,0.2926678611647779,-0.09905717759339568,0,1,0.7092760839515803,val
17863,-1.1630084259388822,0.7663903859288974,0.7647874290203348,-0.4799781940613477,0.522595760690773,1,1,0.7072627501688227,val
2340,-0.694389227357263,-0.9617368770947378,1.7490171793300398,0.5865352359977771,-1.302139787792251,1,1,0.703012257400015,val
3810,-0.400404077974289,-0.3173155771767632,-0.1523053703170274,-0.30468636081425066,0.5227330243584257,1,0,0.716272261321842,val
1531,1.3975051746600877,2.4289870637157094,-0.6206493204046425,-0.4308316689449151,0.28242269716878565,1,1,0.7022612198986433,val
15442,3.3307443974550823,1.2382084950453502,-0.1324922987182987,0.03324944199111687,1.3410156469033532,1,1,0.7074131334482561,val
28477,-1.7205429866837167,-1.0234665764464048,0.5055135142450546,0.4093491066111558,-0.6802288135299,0,1,0.711409845497746,val
10966,-0.4264363094075784,-0.32174780422614774,-0.10278450911831462,0.647362732641798,-0.12744764129281375,1,1,0.7078697558243247,val
14773,3.267219766042073,-1.9854313320367294,-0.36034486188203196,-0.22047682595816787,-0.39553357288480806,0,0,0.7149124714696983,val
10367,-0.18014620035344364,0.1268652441132007,0.24041462607927108,-0.33510023724820387,0.5050203003216762,1,1,0.7039648261141443,val
32210,-0.34799134738704185,0.15870896984631036,-0.16793374205267694,-0.2094635714636814,0.5314881332048662,1,1,0.7113215817324217,val
225,1.6459557198538846,-0.3795884620516881,-0.23142556490047608,-0.6561489814138631,-0.11008314348487216,1,1,0.7093541853826869,val
26830,-0.23681417338293861,0.07979902387825633,-0.1448082958777342,-0.3946719877783841,0.6485167002789902,1,0,0.7131282028740623,val
12655,-1.633962194578667,0.004624487638301907,0.10356258929329766,-0.0745784165352255,-0.6042439788768291,1,1,0.6968355340945406,val
8294,-0.34785828448441414,0.5787659748641238,-0.14707903483788018,2.195813827365321,0.06592553979404965,1,0,0.7186273971998925,val
31460,3.40334847272802,-0.6015547597114179,-0.7378401714349996,-0.9023880186414114,-0.3056351711918353,1,1,0.7032245842502605,val
27896,-1.1493186421659776,-1.1722487260583352,0.7676294238289848,0.26198984390933205,0.20602657716685183,1,0,0.7149946692709555,val
4048,-1.298500684900457,0.40254451823781423,-0.2562248171925326,0.20484383266010067,-0.20004148877357525,1,1,0.7040733197685727,val
29190,-1.4682755527679756,0.5846462303456867,-0.15349731854794935,-0.4310378374609939,0.17617938307858508,1,1,0.7093528248981146,val
1463,-0.24215951836100497,0.1636173900429584,0.2761178332332064,0.1391299705603865,0.7391325583825595,0,1,0.6999025262740673,val
21015,-0.6518560724118196,0.08313595049410838,-0.3068961013250531,-0.296452067674227,0.5007085109304136,1,0,0.719297413045817,val
