,F1DLOT,F1ROLL,CLAIM_NUM,CLAIM,Claims,DIM_DIVISION_CUSTOMER_GK,F1GROL,F1GROL_count,F1PROL,INVENTORY_BACKING_CD,INVENTORY_COLOR_CD,INVENTORY_SIZE_CD,INVENTORY_STYLE_CD,claimRatio,dollarClaims,dollarPerClaim,dollarPerSale,dollarSales,numClaims,numSales,F1ROLL_count,F1DLOT_count
0,K35101$,00156844,7059763,743.85,0,295061,4303086,1,,1,1,1,1,0.009489206784722256,743.85,743.85,880.7759550561798,78389.06,1.0,89.0,1,1
1,K53885$,06157892,7001282,504.1,1,228961,4835362,2,05616699,1,2,1,2,0.0003581207860484127,671.66,671.66,652.8062895927602,1875512.47,1.0,2873.0,2,2
2,K53885$,06157892,7001282,167.56,1,228961,4835362,2,05616699,1,2,1,2,0.0003581207860484127,671.66,671.66,652.8062895927602,1875512.47,1.0,2873.0,2,2
3,A44107,07991120,7060428,54.0,1,337971,5048554,1,,1,3,1,3,7.716335960527569e-05,373.45,186.725,8611.62322064057,4839732.25,2.0,562.0,1,1
4,CA38446$,06917531,7028073,99.36,1,333541,4882770,1,,1,4,1,4,0.0011320629068441428,371.95,74.39,5299.346451612903,328559.48,5.0,62.0,1,2
5,A38502,06317266,7006428,25.81,1,333541,4861911,1,06267865,1,4,1,4,0.0011320629068441428,371.95,74.39,5299.346451612903,328559.48,5.0,62.0,1,1
6,CA38446$,07234139,7028063,88.31,1,333541,4883804A,1,06953476,1,4,1,4,0.0011320629068441428,371.95,74.39,5299.346451612903,328559.48,5.0,62.0,1,2
7,A45687$,08512631,7060054,53.13,1,333541,5093830,1,,1,4,1,4,0.0011320629068441428,371.95,74.39,5299.346451612903,328559.48,5.0,62.0,1,1
8,P97815,99576168,6978003,792.45,1,328291,4242498,1,99436419,1,2,1,5,0.026733098477262254,4610.7,768.4499999999999,746.6302597402597,172471.59,6.0,231.0,1,1
9,K50693,05097858,6973372,1945.8,1,328291,4735135,2,04769673,1,2,1,5,0.026733098477262254,4610.7,768.4499999999999,746.6302597402597,172471.59,6.0,231.0,1,2
10,K52652,05504401,6980908,146.61,1,328291,4791463,1,05386700,1,2,1,5,0.026733098477262254,4610.7,768.4499999999999,746.6302597402597,172471.59,6.0,231.0,1,1
