,CLAIM_NUM,INVENTORY_STYLE_CD,INVENTORY_SIZE_CD,INVENTORY_BACKING_CD,INVENTORY_COLOR_CD,DIM_DIVISION_CUSTOMER_GK,CLAIM,TOTAL_CLAIM,TOTAL_CLAIM_CNT,TRX_CNT,NET_SALES
0,7128208,27949,1200,A,728,299832,635.7,666.08,3,58,952219.01
1,7128013,27949,1200,A,81336,299832,1501.67,1574.24,4,26,221429.41
2,7128223,27931,1200,A,740,299832,346.01,226.38,1,30,305721.91
3,7132728,32519,0500,EW,96,251961,54.97,555.76,7,25,125298.25
4,7128746,32563,MULTI,EW,92,251961,249.55,1552.63,2,89,438514.13
5,7128050,28168,1200,H4,819,250917,1676.53,3249.49,1,13,29578.44
6,7127764,28168,1200,H4,786,346504,25119.61,6456.02,1,18,154370.0
7,7116356,27932,1200,A,842,232904,924.11,405.42,2,156,274674.26
8,7108401,27932,1200,A,945,232904,1442.73,1167.0,2,174,339075.97
9,7122153,C9002,0636,VT,103,228317,10432.8,2901.07,4,91,420689.16
10,7107945,63003,0648,VT,106,269282,777.6,157.4,1,76,54028.8
11,7131924,27475,1200,A,959,249976,150.0,2727.53,4,212,461929.87
12,7136207,27475,1200,A,758,249976,478.52,1481.68,4,100,102392.53
13,7128741,32519,0500,EW,94,251961,54.97,101.97,2,18,108535.39
14,7132730,32519,0500,EW,94,251961,54.97,101.97,2,18,108535.39
15,7125000,27951,1200,A,758,256343,4.94,3047.99,5,48,100851.59
16,7129916,32004,0500D,EW,75,274732,3002.53,5885.46,4,49,891625.51
17,7134512,32004,0500D,EW,75,274732,2720.17,5885.46,4,49,891625.51
18,7125291,32004,0500D,EW,40,274732,4533.23,11521.38,3,37,159277.16
19,7130803,32509,0500,EW,92,326552,1874.73,320.39,1,120,247738.06
20,7088962,32404,0500,EW,17,286563,8359.18,22807.17,8,31,97889.39
21,7116414,27899,1200,A,718,395552,621.0,683.82,1,277,278301.46
22,7003069,63064,0649,VT,W857,105728,13895.65,39109.25,1,11,143325.18
23,7123651,27475,1200,A,959,274732,542.88,688.23,1,180,128189.36
